review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name,Polarity,Subjectivity,Sentiment
RUUJJA0TERA67,B096SV8SJG,5.0 out of 5 stars Compared to 4 other Earbuds...,Connor,5,"I bought these earbuds along with 4 other pairs, with the intent of comparing them over a couple weeks and returning all but my favorite. Here were the results:Beats Fit Pro - https://www.amazon.com/dp/B09JL65GNM?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – These buds had some great base, and the wingtip gave them a fit that made them refuse to fall out of my ears. But the best feature? Physical “clicky” buttons on each one of the buds. You press in and hear/feel the click, rather than relying on a touchscreen-like feature. No need to guess if you tapped them once or twice, you will know.Cons – The wingtip gives a very sturdy fit, but not the most comfortable. I wouldn’t recommend to anyone with smaller ears. The noise canceling was solid, but nothing special. And this may be picky, but I didn’t care for most of the color schemes available. I prefer my earbuds to be hard to notice, and even the black ones have a bright red letter “b” in the middle.Beats Studio Buds - https://www.amazon.com/dp/B096SV8SJG?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Very comfortable with the same great physically “clicky” buttons as the Beats Fit Pro. Noise canceling seemed slightly better than average. Great base. Classic look.Cons – Tested during a workout, a little bit of sweat had these sliding right out of my ear. The case for these earbuds also was the flimsiest of any I had tested, with a very weak hinge that I was scared of breaking off within the 2 weeks of using.Samsung Galaxy Buds Pro - https://www.amazon.com/dp/B08MWZHHKP?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – A neat feature that I noticed only in these earbuds was that it had noise amplification as well as noise cancelation. With one swipe in the app, the surrounding sound was actually louder and clearer than it would be without the earbuds in. Great if you are hard of hearing, or just enjoy snooping on conversations out of reach.Cons – Similar to the Beats Studio Buds, these didn’t stay in during a workout. They were usable, but every 10 minutes I found myself pushing them back into my ear. And this is an opinion, but these are the ugliest earbuds out of the bunch. The shiny black gleam made it look like a large beetle was hanging out in my ear. No visible brand placement either, which makes them appear cheap and generic rather than the quality Samsung they are.Samsung Galaxy Buds Live - https://www.amazon.com/dp/B09TBM1L3S?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Cost effective! I added these to the test group because of the unique shape, and for that they are worth giving a try. If you have small ears and do not like the rubber insert that is standard in most other earbuds, these may be perfect for you.Cons – Poor fit for large ears. These were tested the least of all of the buds, because the fit was so bad for my ear shape that they wouldn’t stay in if I turned my head too fast.Bose QuietComfort - https://www.amazon.com/dp/B08C4KWM9T?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Bose noise canceling is unmatched. If your primary use for earbuds is to cancel out that background white noise, this is the pair for you. The sound quality is great, not too heavy on the base. The case for the earbuds stood out from the rest as the only one that impressed me. Felt very study, and I had no worries tossing it into a gym bag or cup holder. The only case with a button latch to make sure it doesn’t open accidentally.Cons – This was the most expensive pair of earbuds by a longshot, and there were still some things I felt could be improved. The rubber inserts had more of a “flayed” shape rather than the “rounded” shape that is standard. My guess is that this was by design, because the earbuds were also slightly heavier than others and may need that extra in-ear grip. The flayed shape did make them sturdier, but at the cost of them being uncomfortable in an active situation. They were also the largest earbuds, and stuck out from the side of my head further than I would have liked.My favorite? The beats fit pro! While I wouldn’t recommend this pair for everyone, it was perfect for my routine. My music taste benefits from the boosted base, and the wingtip shape was perfect for any workouts. The feature that really convinced me was the physical buttons, something that I didn’t realize how desperately I needed.","Reviewed in the United States August 11, 2022",AFEITP6Y25NKH3KB2LXWQCC7STIA,1,2277,Color: BlackStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.16530880230880232,0.5307694003527337,Neutral
R3EO2GBST2UICI,B096SV8SJG,5.0 out of 5 stars Initial review and comparison to other brands,philip seitz,5,"I love these earbuds. They feel definitely worth the price and a all around great buy. Giving me exactly what I was looking for.For years I have used the raycon E55 and some of the features I loved about raycon was the manual button in the earbuds, excessive bass and great inside-ear fit.Recently however, raycon has gone the way of the world— they have put sensors on the earbuds in the place of buttons and Balanced out the audio. So I began my search for new earbuds.—THE SOUND—Both the AirPods, galaxybuds and raycons I have tried tend to be balanced and prioritize giving equal notes to all instruments For a clear and concise sound, But to someone who is not an audiophile it sounds very flat and devoid of the punch that I desire. For me- I want it to be great sounding but also noticeably bass heavy. These Beats Studio buds deliver. The company recognizes that your not using these to analyze a song. These are for the people who like bass and want to feel some gravitas in their ears!—CONNECTIVITY—These connect effortlessly to iPhone, as if they were AirPods. It was the single biggest factor that blew me away with these. They are incredibly easy to connect. I cannot speak for android but these work great. They do not have a lot of audio adjustments like Bose but I frankly don’t need them to. You can easily see the battery state on both buds and the case from a pop up window in your apple home screen whenever opening the case, just like AirPods.—FIT—The fit is not as good as the raycon E55 but only by a little bit. They fit snuggly in your ears well enough that they do not fall off when running and working out. Although adjustments might need to be made to them occasionally. (I have small ears, so the fit is review as such)—THE CONTROLS—The controls are simple and straightforward. They are just like what you come to expect from earbuds. Single tap, double tap, triple tap.The earbuds HAVE AN ACTUAL BUTTON… which I thought was extinct, I personally hate the sensor buttons because adjusting your earbuds in your ears would trigger the controls.While these do have a very sensitive physical button— it is easy to avoid while adjusting with practice.—BATTERY—The battery lasts me all day, what more do you want?—RANGE—Very good, about 30+ feet—CONS—-no MagSafe compatible charging-fit isn’t as perfect as some brands but is really good-if your an audiophile these earbuds are not balancedFinal call-If you like bass, and hate the sensor controls on most earbuds— these very well could be the best earbuds you could get. These are on par with earbuds in the 200$ range. And if your anything like me, you will love them! And if not, they might still be worth it to you—UPDATE—they have a hard time staying in when working out, and so I had to buy wing tips for these. They automatically have active noise cancellation on when you take them out of the case… which I personally hate.And the cases battery is pretty short lived… only lasts two days generally","Reviewed in the United States September 28, 2023",AFMDCDCHBIWSEI6RDYBCY4MXXVZQ,1,562,Color: BlackStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.17547510822510823,0.5111769480519481,Neutral
R2D114QWXW4IOU,B096SV8SJG,5.0 out of 5 stars I think they’re great,Maizy,5,"I like the sound a lot. I read a previous review from someone saying that the audio sounds really quiet at first and to fix it go into the setting for your headphones and change the press and hold feature to change the volume, after you use the headphones to turn the volume up, you can switch that setting off back to noise control. After i did that the audio was great, nice and loud. The buds fit nice for me with the small ear tips, not uncomfortable. The case is pretty light as well which i personally like a lot. Pretty solid headphones, I quite like them. The noise cancellation doesn’t entirely work, but i dont really mind too much since it still blocks out some noise just not entirely.Solid headphones, worth it :)","Reviewed in the United States July 27, 2024",AFRVRGYJJSBAELQK6XVCXXBCJXLA,1,3,Color: BlackStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.23106060606060605,0.5367424242424241,Positive
R29LYUZ7DI2CS6,B096SV8SJG,"4.0 out of 5 stars Quality sound and build, BUT...",Everest,4,"After using these for a couple weeks straight, I think it's time to review.I would like to state upfront that I bought these on sale for $75. I bought the black ones because the pink ones weren't on sale.Let's start with some pros:The sound is very good, just about on par with my IEMs. These are definitely catered towards more bassy genres, but in the case of metal, I like being able to hear bass along side lead, and provides some heavy kicks. The physical button instead of just touch is an odd choice, but it works. The package comes with a free trial of Apple music (which I will never use), as well as a tiny usb-c to usb-c charger (so hopefully you have a spare usb-c block), and 3 different sized tips, small, meduim, and large. These have awareness mode, as well as a noise isolation mode. Awareness mode is nice, but noise isolation causes me to have a headache.Now some cons:This may be just my ears, but the small tip is too small, and the medium is just big enough to still be pushed out. The body is very smooth, and if you're someone that produces a lot of earwax (like me), it won't stay put and the only thing keeping it in is the tips, meaning you have to keep pushing them back in, and bumping the button. These sit in a very specific position, but don't really like to stay there. Because of the sound mostly being catered towards bass, some leads and vocals can sound a bit muddy at times. By default, the case doesn't have a loop for a string to hold on to and the case is very smooth, so you have to buy a third party case and put it over the stock case just to make it easier to hold on to. These come with an app, and it's very lackluster. No equalizer, there's a find earbuds feature but I'm pretty sure it's not GPS, and you can't mess with settings if the earbuds aren't connected, not to mention: why do my earbuds need to update?!In conclusion: these are good earbuds and I recommend them, but ONLY IF THEY'RE ON SALE.These are 100% worth the $75 I spent on them, but NO WAY ARE THEY WORTH THE $150 RETAIL PRICE TAG.","Reviewed in the United States August 3, 2024",AEDBORE5CT34E6D7QVXFZW5ZERCA,1,0,Color: BlackStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.15609410430839002,0.45681311413454295,Neutral
RRC5SI8P44LH4,B096SV8SJG,5.0 out of 5 stars Excellent -- Budget Friendly -- Good Review from a Beats Fan Girl and Audiophile,Mary Trotta,5,"Been a few months (May 2024) since the purchase so I wanted to give a nice, solid review.Battery life --- Excellent. 5 starsRange From Phone/Case --- Excellent. 5 starsStability --- Excellent. 5 starsCharging --- Excellent. 5 starsSound Quality --- Excellent. 5 stars (especially if you aren't an audiophile. We're picky and hard to please so don't listen to our complaints as closely. Leave those for the audiophiles to read about.Connectivity --- Excellent. 5 stars.With that said ...If you need something to work out in, live in a hot environment and are cleaning your yard.Nope. Not staying in. And my ears are pretty versatile.Which is why during Amazon Days I just purchased the Beats Fit Pro set.The sound on the Fits... Not gonna lie, huge difference in quality. Wasn't expecting it to be that different. But, alas, it is. Now with that said, these here are super affordable. If you're on a budget get them. The fits, not on sale and on sale, not for a budget audio buyer. So think about what is important as far as staying in your ears. If you're looking for a chill around the house, sure these are excellent. If you wanna run, don't. Save and get the fits.Comfortable. Weight is not heavy. I don't use my buds for calls so I cannot speak on the mic, sorry.","Reviewed in the United States July 21, 2024",AGRC63RAW4DZCOTB2NDTUFP7SRFA,1,3,Color: Sunset PinkStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.36453962703962706,0.7864316239316239,Positive
R3OTWPP01KM2BY,B096SV8SJG,3.0 out of 5 stars actually disappointing,kimmy,3,"bought these after my airpod pros died on me suddenly. i have been using these beats studio buds for about 6 months and the experience has been inconsistent to say the least. first issue: they fall out of my ears if i do simple things like turn my head or chew. i can barely walk or exercise with them in because they just fall out. i looked online and it seems others have had these issues; people were suggesting swapping the size of the actual ear bud and even wearing them in reverse (with the left bud in the right ear and right bud in left ear). neither if these worked for me. really made me appreciate the airpod design.it was fairly easy to connect the very first time but every time after that is almost always a pain. if the case is dead but the beats themselves are still charged it’s like it doesn't recognize that the beats are still working and refuses to connect. even if the case is charged sometimes it just will not recognize that the beats are in range of my phone, even if they're sitting right on top of each other. if it’s not straight up refusing to connect it’s disconnecting randomly. if i open my car door - even with the car turned off - the beats automatically disconnect from my phone as if it expects me to connect my phone to carplay. there are many times i have been talking on the phone using my beats and suddenly they will disconnect.the controls only kind of work. you can use the default preset controls like pressing twice for skipping songs and once for hanging up calls and the like. however you're supposed to be able to customize these controls to in your phone settings but they only work as long as the beats are disconnected. as soon as you put the beats away and disconnect everything goes back to default settings the next time you reconnect. noise cancellation is a joke, it sounds the same as when its on transparent mode or off.the case feels like cheap plastic. i got a silicone case because i was afraid of scratching it up. not much else to say about it.the color of the beats are great. i got red and it looks super cool. i think the sound quality is on par with my old airpod pros. when i am on the phone others have not had a problem with not hearing me or me coming across muffled, so that’s a plus.overall, these earbuds are nothing special. i got these around the holidays when they were almost half off. glad i didn’t pay full price for these as they are disappointing at best.ETA: as of july 2024 i ditched these and bought another pair of airpod pros. literally no regrets.","Reviewed in the United States May 25, 2024",AFSUYJ3N2JAFCBPFF7G6VM5LLT5A,1,65,Color: RedStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.12759740259740257,0.448728354978355,Neutral
R3MCOYFNYISC7D,B096SV8SJG,5.0 out of 5 stars Bought for fiance and she loves them.,alex,5,Fiance loves them. She isn't very techy but she really likes the sound quality of these. I'm no audiophile but they sound great for the price I paid. They are comfortable and light. They look great but the case is big. The mic isn't too good but works when needed. The color is really what I got them for. She loves pink. She has really small ears and the headphone ear plugs that came with these were all too big. We swapped them out a few months later and haven't heard anything about it yet from her. So I'm assuming they are working great. She dropped one into the sink and they were soaked and stopped working for a few days I riced them and blowdried them and they came back to life. Still sound as good as ever. Wasn't expecting that from these. 5 stars fr. Nice job Apple. Oh and if you have iPhone they pair like air pods,"Reviewed in the United States July 21, 2024",AFWMSSIDXLWWSPMMNPG5RNOSG4NQ,1,0,Color: Sunset PinkStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.2840909090909091,0.4068181818181818,Positive
R2MOD3AIAL0RCQ,B096SV8SJG,"4.0 out of 5 stars Pretty good. Not GREAT, but not bad.",Papa Boots,4,"Whenever I see something with a 4-star review, it usually means it’s a solid product but there’s something (or somethings) keeping it out of 5-star range.For me, these are a perfect example of that. They’re small (good), not terribly obtrusive (only some out-of-ear-stick-out, tho your experience may vary), the sound has some solid bass which is helpful for the gym (where I tested these out), the sound overall is clear (download some equalizer apps to play with the sound itself), and they stayed in my ear well. I don’t know much about soundstage or whatever, but the sound itself is clear, bass is nice and strong, and you can hear even the subtle nuances like the shifting of a hand on guitar strings clearly enough without being disturbed. That, to me, is the sign of a good earbud.The transparency mode and noise canceling modes were alright. But that’s just it, they’re alright. Granted, the AirPod Pros have a higher price tag, so they do the ANC and Transparency mode much better. So it’s understandable that these would do the same, but on just the slightest bit of a lower level.I’m also spoiled bc the Airpod Pros have wireless charging. These DO have USB C, but the lack of wireless charging is a small thing, really. There’s something about being able to toss these on a charging pad and leaving them there to charge that’s just so satisfying. Also, was not a fan of how the case just doesn’t have that “premium” feel. The matte finish is nice, tho I would have liked a little more weight in the case lid, but at this point, these are such little (and I mean LITTLE) things that really, it’s not a dealbreaker.My only thing is the amount they stick out. I’m sorry, but they do look a little…funny, the way they sort of stick out just a bit so that the “b” logo is upright. They don’t stick out a LOT, but juuuuust enough that when you look in the mirror, you’ll see a vertical line where the physical button (which I have managed to press on accident a couple of times while adjusting the bud) sticks out. Also, I had a little difficulty getting them to stay in, but that’s beyond pretty much anyone’s control.These get that 4th star because of just how they are a solid enough product worth the purchase. They don’t do any one thing particularly well, but there are just enough teeny things for me that I wouldn’t say these are the best I’ve ever used. (For comparison, the Jabra 75t gets the equivalent of a 4.3 rating…the hear-through is amazing and their app really helps boost functionality).For me, these are SOLID gym earbuds. They play music loudly, clearly enough, and the bass is strong enough for me that I can drown out whatever annoying other music is playing outside. They fit and stay relatively well. For the price tag, you get some good bang for the buck. You could do worse, but at this range, depending on if you want to pitch in a few more, you could also do better.","Reviewed in the United States June 27, 2021",AECTDFXXCI5RLPDMMXH2ELH4LJVA,1,1697,Color: RedStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.14655797101449272,0.4858264320220842,Neutral
R3W44HXR3GUPIE,B096SV8SJG,4.0 out of 5 stars Makes sense for price.,Bee,4,"I am not a sound junkie, so take my review as someone who knows nothing about specs, quality, etc.Performance wise, they do what I expect them to do. They play my music. The buds do not have ear detection, so you have to press play/pause anytime something interrupts you. The sound was also very low when I received them, as they were a used product, but a little configuration in my settings fixed that immediately. I had no issues pairing them. I do like that you can see battery level without opening the case, you just go to your bluetooth icon and it’s there for both buds plus case.They’re not great at noise cancelling if I had to compare to say, AirPod pros. They’re more noise reducing, so if that’s your driving point with these you will not get what you are looking for. They do utilize spatial audio too, but again it’s just enough to say it’s there.Comfort wise, I like how they fit in my ear. Downside if I am working out they will fall out if I start sweating. They have squishy tips though which I do enjoy.Putting them in the case can be confusing. If you drop the case they will fly out though. Upside to that, these bad boys have survived my washer and dryer three times so far with no hit to the existing quality of sound or performance.Appearance wise they are really small, if you have long hair you could easily hide these during whatever you are doing.I got the black color, pretty standard. Nothing too different than what’s pictured.They’re extremely lightweight too (reference back to dropping the case) so I do suggest a protective case if you need some weight to it. I can honestly forget them in my pockets from how light they are.","Reviewed in the United States July 24, 2024",AHPNYX3N7YSFKEGN2VREBPXEGT7A,1,0,Color: BlackStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.146577380952381,0.5847619047619049,Neutral
R2FJ02IAUY08JQ,B096SV8SJG,3.0 out of 5 stars Not Worth the Hype: Disappointing Features Despite Good Sound Quality,KFCC,3,"**Review:**I really wanted to like these, but after using them for almost a week, I find them poor in everything except for the relatively good sound when playing music. They are absolutely unusable for my work, which involves video conferencing. This is a deal-breaker.**Pros:**- Sound Quality: The mids are nice and clear, and the bass is tight and punchy when the volume is turned up. When listening to the right kind of music at high volumes, they can sound downright amazing. I appreciate the trueness of the sound, especially given my diverse music tastes from reggae to hip hop, jazz, R&B, and EDM.- Fit: They sit very snug in my ears, effectively blocking out external sounds, which provides a passive noise-canceling effect.**Cons:**- Noise Cancelling and Transparency Modes: Both modes fall short of expectations. Transparency mode, which should let you hear your surroundings, instead adds a hollow reverb and doesn't work well; I couldn’t even hear someone talking directly to me while using it. Noise cancellation mode introduces a persistent noise layer, similar to wind or the sea, rather than effectively blocking external sounds.- Controls: The physical buttons are a matter of personal preference. For me, they are frustrating and cumbersome, often leading to accidental pausing of the music, restarting the track, or skipping to the previous track. I find touch-sensitive controls more intuitive. Maybe I'll get used to it over time, but currently, it’s quite inconvenient.- Bluetooth Range: Disappointingly low with frequent disconnections even at moderate distances. To be honest, they perform similarly to the Earfun Air Pro 3, but I expected them to be better. Maybe I need to cut them some slack since they're a year older (2021) than the Earfun Air Pro 3.- Microphone Quality: Sounds horrible and robotic on a PC, making it unusable for video conferencing or recordings. I need to test the call quality on mobile.**Conclusion:**Overall, I'm not convinced these earbuds live up to the hype or their price. Despite impressive sound quality and numerous positive reviews, I want to be objective and make an informed decision. Here are the questions I’m considering:- Am I being more critical because of the price?- Is the fact that the normal mode sounds amazing with the passive noise-canceling from the fit enough to overlook the underwhelming or broken modes?- Should I use these earbuds just for music and avoid using them for work, which heavily relies on video conferencing on PC?- Will the microphone performance be better on mobile?- Will the fit remain as good when working out or sweating?- What will happen if they fall into a puddle of water?- Can they handle 8 hours of continuous work without causing fatigue?I realize that I can’t fully trust online reviews, particularly with notable brands where reviewers might be enamoured by the brand itself or the product’s popularity. This can lead to mismatched expectations between what is advertised and what actually meets my needs. I’ll continue to test these earbuds in various scenarios to make a more informed decision.","Reviewed in the United States July 24, 2024",AEMRF56YHKNWCKBIVLXZTGEV753A,1,0,Color: RedStyle: Studio BudsSet: Without AppleCare+,Beats Studio Buds – True Wireless Noise Cancelling Earbuds,0.1696582710219074,0.5025213170667715,Neutral
